"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","0.0.0.0","255.255.255.255","DHCP","379","DHCP Request  - Transaction ID 0x6144ca1c"
"2","0.000340","192.168.1.1","192.168.1.216","DHCP","342","DHCP ACK      - Transaction ID 0x6144ca1c"
"3","0.088755","192.168.1.216","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.251 for any sources"
"4","0.091166","192.168.1.216","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"5","0.102250","ASUSTekC_32:58:f9","Broadcast","ARP","42","Who has 192.168.1.216? (ARP Probe)"
"6","0.102389","192.168.1.216","224.0.0.22","IGMPv3","62","Membership Report / Join group 224.0.0.251 for any sources / Join group 224.0.0.252 for any sources"
"7","0.107325","192.168.1.216","224.0.0.22","IGMPv3","54","Membership Report / Leave group 224.0.0.252"
"8","0.107574","192.168.1.216","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"9","0.141964","192.168.1.216","224.0.0.251","MDNS","81","Standard query 0x0000 ANY DESKTOP-GXMYNO2.local, ""QM"" question"
"10","0.142784","192.168.1.216","224.0.0.251","MDNS","91","Standard query response 0x0000 A 192.168.1.216"
"11","0.151379","192.168.1.216","224.0.0.252","LLMNR","75","Standard query 0x661c ANY DESKTOP-GXMYNO2"
"12","0.414330","ASUSTekC_32:58:f9","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.216"
"13","0.414409","Cisco_f6:df:0a","ASUSTekC_32:58:f9","ARP","42","192.168.1.1 is at 1c:17:d3:f6:df:0a"
"14","0.467290","ASUSTekC_32:58:f9","Broadcast","ARP","42","Who has 192.168.1.2? Tell 192.168.1.216"
"15","0.467497","Dell_62:ae:26","ASUSTekC_32:58:f9","ARP","42","192.168.1.2 is at 20:47:47:62:ae:26"
"16","0.467602","192.168.1.216","192.168.1.2","DNS","95","Standard query 0xde0e SRV _ldap._tcp.dc._msdcs.spoonwatch.net"
"17","0.467862","192.168.1.2","192.168.1.216","DNS","159","Standard query response 0xde0e SRV _ldap._tcp.dc._msdcs.spoonwatch.net SRV 0 100 389 spoonwatch-dc.spoonwatch.net A 192.168.1.2"
"18","0.472526","192.168.1.216","192.168.1.2","DNS","88","Standard query 0x9dc7 A spoonwatch-dc.spoonwatch.net"
"19","0.472780","192.168.1.2","192.168.1.216","DNS","104","Standard query response 0x9dc7 A spoonwatch-dc.spoonwatch.net A 192.168.1.2"
"20","0.510432","192.168.1.216","192.168.1.2","CLDAP","264","searchRequest(1) ""<ROOT>"" baseObject "
"21","0.510779","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [1 result]"
"22","0.564200","192.168.1.216","192.168.1.2","DNS","107","Standard query 0xa1cc SRV _ldap._tcp.dc._msdcs.localdomain.spoonwatch.net"
"23","0.564502","192.168.1.2","192.168.1.216","DNS","182","Standard query response 0xa1cc No such name SRV _ldap._tcp.dc._msdcs.localdomain.spoonwatch.net SOA spoonwatch-dc.spoonwatch.net"
"24","0.564837","192.168.1.216","192.168.1.2","TCP","66","49668  >  389 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"25","0.564985","192.168.1.2","192.168.1.216","TCP","66","389  >  49668 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"26","0.565087","192.168.1.216","192.168.1.2","TCP","54","49668  >  389 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"27","0.565441","192.168.1.216","192.168.1.2","LDAP","404","searchRequest(2) ""<ROOT>"" baseObject "
"28","0.565723","192.168.1.2","192.168.1.216","TCP","1514","389  >  49668 [ACK] Seq=1 Ack=351 Win=2102272 Len=1460 [TCP segment of a reassembled PDU]"
"29","0.565726","192.168.1.2","192.168.1.216","LDAP","1367","searchResEntry(2) ""<ROOT>""  | searchResDone(2) success  [1 result]"
"30","0.566029","192.168.1.216","192.168.1.2","TCP","54","49668  >  389 [ACK] Seq=351 Ack=2774 Win=2102272 Len=0"
"31","0.572235","192.168.1.216","192.168.1.2","DNS","107","Standard query 0xcc6a SRV _ldap._tcp.dc._msdcs.localdomain.spoonwatch.net"
"32","0.572517","192.168.1.2","192.168.1.216","DNS","182","Standard query response 0xcc6a No such name SRV _ldap._tcp.dc._msdcs.localdomain.spoonwatch.net SOA spoonwatch-dc.spoonwatch.net"
"33","0.602288","192.168.1.216","224.0.0.22","IGMPv3","54","Membership Report / Join group 224.0.0.252 for any sources"
"34","0.719384","192.168.1.216","192.168.1.1","NBNS","110","Registration NB SPOONWATCH<00>"
"35","0.719662","192.168.1.216","192.168.1.1","NBNS","110","Registration NB DESKTOP-GXNYNO2<00>"
"36","0.752925","192.168.1.216","192.168.1.2","CLDAP","264","searchRequest(1) ""<ROOT>"" baseObject "
"37","0.753237","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [1 result]"
"38","0.900476","ASUSTekC_32:58:f9","Broadcast","ARP","42","Who has 192.168.1.1? Tell 192.168.1.216"
"39","0.900550","Cisco_f6:df:0a","ASUSTekC_32:58:f9","ARP","42","192.168.1.1 is at 1c:17:d3:f6:df:0a"
"40","0.992148","192.168.1.216","192.168.1.2","TCP","66","49670  >  445 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"41","0.992368","192.168.1.2","192.168.1.216","TCP","66","445  >  49670 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"42","0.992513","192.168.1.216","192.168.1.2","TCP","54","49670  >  445 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"43","0.996850","192.168.1.216","192.168.1.2","SMB","127","Negotiate Protocol Request"
"44","0.997297","192.168.1.2","192.168.1.216","SMB2","306","Negotiate Protocol Response"
"45","0.997457","192.168.1.216","192.168.1.2","SMB2","322","Negotiate Protocol Request"
"46","0.997787","192.168.1.2","192.168.1.216","SMB2","366","Negotiate Protocol Response"
"47","1.025321","192.168.1.216","192.168.1.2","TCP","66","49670  >  445 [ACK] Seq=342 Ack=565 Win=2101760 Len=0 SLE=253 SRE=565"
"48","1.102272","ASUSTekC_32:58:f9","Broadcast","ARP","42","Who has 192.168.1.216? (ARP Probe)"
"49","1.264561","192.168.1.216","192.168.1.2","DNS","76","Standard query 0xd5dc A dns.msftncsi.com"
"50","1.293993","192.168.1.2","192.168.1.216","DNS","92","Standard query response 0xd5dc A dns.msftncsi.com A 131.107.255.255"
"51","1.313086","192.168.1.216","192.168.1.1","NBNS","110","Registration NB DESKTOP-GXNYNO2<20>"
"52","1.454577","192.168.1.216","192.168.1.2","DNS","126","Standard query 0x8614 SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.spoonwatch.net"
"53","1.454920","192.168.1.2","192.168.1.216","DNS","190","Standard query response 0x8614 SRV _ldap._tcp.Default-First-Site-Name._sites.dc._msdcs.spoonwatch.net SRV 0 100 389 spoonwatch-dc.spoonwatch.net A 192.168.1.2"
"54","1.464379","192.168.1.216","192.168.1.2","DNS","130","Standard query 0x0288 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.spoonwatch.net"
"55","1.464706","192.168.1.2","192.168.1.216","DNS","194","Standard query response 0x0288 SRV _kerberos._tcp.Default-First-Site-Name._sites.dc._msdcs.spoonwatch.net SRV 0 100 88 spoonwatch-dc.spoonwatch.net A 192.168.1.2"
"56","1.540223","192.168.1.216","192.168.1.2","DNS","79","Standard query 0x5211 A wpad.spoonwatch.net"
"57","1.540596","192.168.1.2","192.168.1.216","DNS","154","Standard query response 0x5211 No such name A wpad.spoonwatch.net SOA spoonwatch-dc.spoonwatch.net"
"58","1.541766","192.168.1.216","192.168.1.2","DNS","76","Standard query 0x611a A wpad.localdomain"
"59","1.542023","192.168.1.2","192.168.1.216","DNS","151","Standard query response 0x611a No such name A wpad.localdomain SOA a.root-servers.net"
"60","1.639885","192.168.1.216","192.168.1.2","CLDAP","265","searchRequest(1) ""<ROOT>"" baseObject "
"61","1.640195","192.168.1.216","192.168.1.2","CLDAP","308","searchRequest(2) ""<ROOT>"" baseObject "
"62","1.640232","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(1) ""<ROOT>"" searchResDone(1) success  [1 result]"
"63","1.640439","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(2) ""<ROOT>"" searchResDone(2) success  [1 result]"
"64","1.642698","192.168.1.216","192.168.1.2","CLDAP","264","searchRequest(3) ""<ROOT>"" baseObject "
"65","1.643085","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(3) ""<ROOT>"" searchResDone(3) success  [1 result]"
"66","1.649024","192.168.1.216","192.168.1.2","CLDAP","311","searchRequest(4) ""<ROOT>"" baseObject "
"67","1.649470","192.168.1.2","192.168.1.216","CLDAP","253","searchResEntry(4) ""<ROOT>"" searchResDone(4) success  [1 result]"
"68","1.683946","192.168.1.216","192.168.1.2","CLDAP","265","searchRequest(5) ""<ROOT>"" baseObject "
"69","1.684304","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(5) ""<ROOT>"" searchResDone(5) success  [1 result]"
"70","1.686362","192.168.1.216","192.168.1.2","CLDAP","264","searchRequest(6) ""<ROOT>"" baseObject "
"71","1.686667","192.168.1.2","192.168.1.216","CLDAP","232","searchResEntry(6) ""<ROOT>"" searchResDone(6) success  [1 result]"
"72","1.756730","192.168.1.216","192.168.1.2","TCP","66","49673  >  88 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"73","1.756945","192.168.1.2","192.168.1.216","TCP","66","88  >  49673 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"74","1.757137","192.168.1.216","192.168.1.2","TCP","54","49673  >  88 [ACK] Seq=1 Ack=1 Win=2102272 Len=0"
"75","1.757311","192.168.1.216","192.168.1.2","KRB5","298","AS-REQ"
"76","1.757842","192.168.1.2","192.168.1.216","KRB5","278","KRB Error: KRB5KDC_ERR_PREAUTH_REQUIRED"
"77","1.758110","192.168.1.216","192.168.1.2","TCP","54","49673  >  88 [FIN, ACK] Seq=245 Ack=225 Win=2102016 Len=0"
"78","1.758272","192.168.1.2","192.168.1.216","TCP","54","88  >  49673 [ACK] Seq=225 Ack=246 Win=2102272 Len=0"
"79","1.758317","192.168.1.2","192.168.1.216","TCP","54","88  >  49673 [RST, ACK] Seq=225 Ack=246 Win=0 Len=0"
